Year,Universe,Departments and Agencies,Employees
2013,CPA,Status of Women Canada,100
2013,CPA,Transport Canada,4778
2013,CPA,Transportation Appeal Tribunal of Canada,9
2013,CPA,Transportation Safety Board of Canada,202
2013,CPA,Treasury Board of Canada Secretariat,1860
2013,CPA,Veterans Affairs Canada,3602
2013,CPA,Western Economic Diversification Canada,335
2013,SA,Canada Revenue Agency,41256
2013,SA,Canadian Food Inspection Agency,6254
2013,SA,Canadian Institutes of Health Research,394
2013,SA,Canadian Nuclear Safety Commission,856
2013,SA,Canadian Polar Commission,9
2013,SA,Communications Security Establishment,2075
2013,SA,Financial Consumer Agency of Canada,73
2013,SA,Financial Transactions and Reports Analysis Centre of Canada,374
2013,SA,Indian Oil and Gas Canada,84
2013,SA,National Energy Board,409
2013,SA,National Film Board,466
2013,SA,National Research Council Canada,3525
2013,SA,National Round Table on the Environment and the Economy,3
2013,SA,Office of the Auditor General of Canada,611
2013,SA,Office of the Superintendent of Financial Institutions Canada,638
2013,SA,Parks Canada,2923
2013,SA,Public Service Labour Relations Board,96
2013,SA,Science and Engineering Research Canada,407
2013,SA,Security Intelligence Review Committee,15
2013,SA,Social Sciences and Humanities Research Council of Canada,199
2013,SA,Statistical Survey Operations,1601
2013,SA,The Correctional Investigator Canada,33
2014,CPA,Agriculture and Agri-Food Canada,5291
2014,CPA,Atlantic Canada Opportunities Agency,591
2014,CPA,Canada Border Services Agency,14096
2014,CPA,Canada Industrial Relations Board,88
2014,CPA,Canada School of Public Service,625
2014,CPA,Canadian Dairy Commission,51
2014,CPA,Canadian Environmental Assessment Agency,230
2014,CPA,Canadian Grain Commission,413
2014,CPA,Canadian Heritage,1821
2014,CPA,Canadian Human Rights Commission,199
2014,CPA,Canadian Intergovernmental Conference Secretariat,24
2014,CPA,Canadian International Trade Tribunal,77
2014,CPA,Canadian Radio-television and Telecommunications Commission,435
2014,CPA,Canadian Space Agency,621
2014,CPA,Canadian Transportation Agency,218
2014,CPA,Civilian Review and Complaints Commission for the RCMP,65
2014,CPA,Competition Bureau Canada,7
2014,CPA,Copyright Board Canada,13
2014,CPA,Correctional Service Canada,18259
2014,CPA,Courts Administration Service,614
2014,CPA,Department of Finance Canada,751
2014,CPA,Department of Justice Canada,4574
2014,CPA,Economic Development Agency of Canada for the Regions of Quebec,348
2014,CPA,Elections Canada,520
2014,CPA,Employment and Social Development Canada,21097
2014,CPA,Environment and Climate Change Canada,6550
2014,CPA,Farm Products Council of Canada,17
2014,CPA,Federal Economic Development Agency for Southern Ontario,224
2014,CPA,Federal Judges not part of any department,1110
2014,CPA,Fisheries and Oceans Canada,9958
2014,CPA,Global Affairs Canada,6027
2014,CPA,Health Canada,9341
2014,CPA,Human Rights Tribunal of Canada,20
2014,CPA,Immigration and Refugee Board of Canada,983
2014,CPA,"Immigration, Refugees and Citizenship Canada",5927
2014,CPA,Indian Residential Schools Truth and Reconciliation Commission,15
2014,CPA,Indigenous and Northern Affairs Canada,4857
2014,CPA,Infrastructure Canada,288
2014,CPA,"Innovation, Science and Economic Development Canada",4711
2014,CPA,International Joint Commission,31
2014,CPA,Library and Archives Canada,1043
2014,CPA,Military Grievances External Review Committee,37
2014,CPA,Military Police Complaints Commission of Canada,14
2014,CPA,National Defence,23146
2014,CPA,Natural Resources Canada,4231
2014,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,58
2014,CPA,Office of the Commissioner of Lobbying of Canada,26
2014,CPA,Office of the Commissioner of Official Languages,171
2014,CPA,Office of the Governor General's Secretary,155
2014,CPA,Office of the Public Sector Integrity Commissioner of Canada,28
2014,CPA,Offices of the information and Privacy Commissioners of Canada,261
2014,CPA,Parole Board of Canada,459
2014,CPA,Patented Medicine Prices Review Board Canada,55
2014,CPA,Privy Council Office,751
2014,CPA,Public Health Agency of Canada,2175
2014,CPA,Public Prosecution Service of Canada,969
2014,CPA,Public Safety Canada,1057
2014,CPA,Public Servants Disclosure Protection Tribunal Canada,9
2014,CPA,Public Service Commission of Canada,736
2014,CPA,Public Service Staffing Tribunal,31
2014,CPA,Public Services and Procurement Canada,11967
2014,CPA,RCMP External Review Committee,5
2014,CPA,Registrar of the Supreme Court of Canada,219
2014,CPA,Registry of the Specific Claims Tribunal of Canada,9
2014,CPA,Royal Canadian Mounted Police (Civilian Staff),6065
2014,CPA,Shared Services Canada,5394
2014,CPA,Statistics Canada,4807
2014,CPA,Status of Women Canada,98
2014,CPA,Transport Canada,4771
2014,CPA,Transportation Appeal Tribunal of Canada,9
2014,CPA,Transportation Safety Board of Canada,203
2014,CPA,Treasury Board of Canada Secretariat,1778
2014,CPA,Veterans Affairs Canada,3188
2014,CPA,Western Economic Diversification Canada,318
2014,SA,Canada Revenue Agency,40279
2014,SA,Canadian Food Inspection Agency,6315
2014,SA,Canadian Institutes of Health Research,412
2014,SA,Canadian Nuclear Safety Commission,821
2014,SA,Canadian Polar Commission,11
2014,SA,Communications Security Establishment,2171
2014,SA,Financial Consumer Agency of Canada,78
2014,SA,Financial Transactions and Reports Analysis Centre of Canada,347
2014,SA,Indian Oil and Gas Canada,85
2014,SA,National Energy Board,435
2014,SA,National Film Board,420
2014,SA,National Research Council Canada,3534
2014,SA,Office of the Auditor General of Canada,581
2014,SA,Office of the Superintendent of Financial Institutions Canada,684
2014,SA,Parks Canada,3175
2014,SA,Public Service Labour Relations Board,91
2014,SA,Science and Engineering Research Canada,409
2014,SA,Security Intelligence Review Committee,16
2014,SA,Social Sciences and Humanities Research Council of Canada,205
2014,SA,Statistical Survey Operations,1699
2014,SA,The Correctional Investigator Canada,40
2015,CPA,Administrative Tribunals Support Service of Canada,349
2015,CPA,Agriculture and Agri-Food Canada,5194
2015,CPA,Atlantic Canada Opportunities Agency,604
2015,CPA,Canada Border Services Agency,14113
2015,CPA,Canada School of Public Service,646
2015,CPA,Canadian Dairy Commission,56
2015,CPA,Canadian Environmental Assessment Agency,229
2015,CPA,Canadian Grain Commission,408
2015,CPA,Canadian Heritage,1773
2015,CPA,Canadian Human Rights Commission,204
2015,CPA,Canadian Intergovernmental Conference Secretariat,23
2015,CPA,Canadian Northern Economic Development Agency,75
2015,CPA,Canadian Radio-television and Telecommunications Commission,462
2015,CPA,Canadian Space Agency,600
2015,CPA,Canadian Transportation Agency,241
2015,CPA,Civilian Review and Complaints Commission for the RCMP,74
2015,CPA,Copyright Board Canada,17
2015,CPA,Correctional Service Canada,17639
2015,CPA,Courts Administration Service,618
2015,CPA,Department of Finance Canada,743
2015,CPA,Department of Justice Canada,4476
2015,CPA,Economic Development Agency of Canada for the Regions of Quebec,331
2015,CPA,Elections Canada,630
2015,CPA,Employment and Social Development Canada,21707
2015,CPA,Environment and Climate Change Canada,6595
2015,CPA,Farm Products Council of Canada,19
2015,CPA,Federal Economic Development Agency for Southern Ontario,218
2015,CPA,Federal Judges not part of any department,1144
2015,CPA,Fisheries and Oceans Canada,9858
2015,CPA,Global Affairs Canada,5973
2015,CPA,Health Canada,9079
2015,CPA,Immigration and Refugee Board of Canada,954
2015,CPA,"Immigration, Refugees and Citizenship Canada",6385
2015,CPA,Indian Residential Schools Truth and Reconciliation Commission,9
2015,CPA,Indigenous and Northern Affairs Canada,4684
2015,CPA,Infrastructure Canada,354
2015,CPA,"Innovation, Science and Economic Development Canada",4742
2015,CPA,International Joint Commission,32
2015,CPA,Library and Archives Canada,1026
2015,CPA,Military Grievances External Review Committee,42
2015,CPA,Military Police Complaints Commission of Canada,22
2015,CPA,National Defence,22611
2015,CPA,Natural Resources Canada,4149
2015,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,54
2015,CPA,Office of the Commissioner of Lobbying of Canada,27
2015,CPA,Office of the Commissioner of Official Languages,172
2015,CPA,Office of the Governor General's Secretary,156
2015,CPA,Office of the Prime Minister,1
2015,CPA,Office of the Public Sector Integrity Commissioner of Canada,25
2015,CPA,Offices of the information and Privacy Commissioners of Canada,282
2015,CPA,Parole Board of Canada,467
2015,CPA,Patented Medicine Prices Review Board Canada,60
2015,CPA,Privy Council Office,727
2015,CPA,Public Health Agency of Canada,2186
2015,CPA,Public Prosecution Service of Canada,968
2015,CPA,Public Safety Canada,978
2015,CPA,Public Service Commission of Canada,738
2015,CPA,Public Services and Procurement Canada,12092
2015,CPA,RCMP External Review Committee,6
2015,CPA,Registrar of the Supreme Court of Canada,213
2015,CPA,Royal Canadian Mounted Police (Civilian Staff),6437
2015,CPA,Shared Services Canada,5236
2015,CPA,Statistics Canada,4890
2015,CPA,Status of Women Canada,92
2015,CPA,Transport Canada,5205
2015,CPA,Transportation Safety Board of Canada,213
2015,CPA,Treasury Board of Canada Secretariat,1761
2015,CPA,Veterans Affairs Canada,3174
2015,CPA,Western Economic Diversification Canada,297
2015,SA,Canada Revenue Agency,40059
2015,SA,Canadian Food Inspection Agency,6009
2015,SA,Canadian Institutes of Health Research,432
2015,SA,Canadian Nuclear Safety Commission,822
2015,SA,Canadian Polar Commission,14
2015,SA,Communications Security Establishment,2168
2015,SA,Financial Consumer Agency of Canada,84
2015,SA,Financial Transactions and Reports Analysis Centre of Canada,355
2015,SA,Indian Oil and Gas Canada,80
2015,SA,National Energy Board,447
2015,SA,National Film Board,394
2015,SA,National Research Council Canada,3618
2015,SA,Office of the Auditor General of Canada,571
2015,SA,Office of the Superintendent of Financial Institutions Canada,700
2015,SA,Parks Canada,3394
2015,SA,Science and Engineering Research Canada,418
2015,SA,Security Intelligence Review Committee,18
2015,SA,Social Sciences and Humanities Research Council of Canada,209
2015,SA,Statistical Survey Operations,1642
2015,SA,The Correctional Investigator Canada,35
2016,CPA,Administrative Tribunals Support Service of Canada,374
2016,CPA,Agriculture and Agri-Food Canada,5167
2016,CPA,Atlantic Canada Opportunities Agency,615
2016,CPA,Canada Border Services Agency,14171
2016,CPA,Canada School of Public Service,648
2016,CPA,Canadian Dairy Commission,60
2016,CPA,Canadian Environmental Assessment Agency,258
2016,CPA,Canadian Grain Commission,403
2016,CPA,Canadian Heritage,1762
2016,CPA,Canadian Human Rights Commission,205
2016,CPA,Canadian Intergovernmental Conference Secretariat,22
2016,CPA,Canadian Northern Economic Development Agency,77
2016,CPA,Canadian Radio-television and Telecommunications Commission,450
2016,CPA,Canadian Space Agency,616
2016,CPA,Canadian Transportation Agency,239
2016,CPA,Civilian Review and Complaints Commission for the RCMP,71
2016,CPA,Copyright Board Canada,14
2016,CPA,Correctional Service Canada,17172
2016,CPA,Courts Administration Service,668
2016,CPA,Department of Finance Canada,735
2016,CPA,Department of Justice Canada,4461
2016,CPA,Economic Development Agency of Canada for the Regions of Quebec,333
2016,CPA,Elections Canada,634
2016,CPA,Employment and Social Development Canada,22312
2016,CPA,Environment and Climate Change Canada,6475
2016,CPA,Farm Products Council of Canada,19
2016,CPA,Federal Economic Development Agency for Southern Ontario,222
2016,CPA,Federal Judges not part of any department,1141
2016,CPA,Fisheries and Oceans Canada,9901
2016,CPA,Global Affairs Canada,5890
2016,CPA,Health Canada,9189
2016,CPA,Immigration and Refugee Board of Canada,973
2016,CPA,"Immigration, Refugees and Citizenship Canada",6587
2016,CPA,Indigenous and Northern Affairs Canada,4582
2016,CPA,Infrastructure Canada,351
2016,CPA,"Innovation, Science and Economic Development Canada",4776
2016,CPA,International Joint Commission,32
2016,CPA,Library and Archives Canada,938
2016,CPA,Military Grievances External Review Committee,35
2016,CPA,Military Police Complaints Commission of Canada,26
2016,CPA,National Defence,22954
2016,CPA,Natural Resources Canada,4191
2016,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,59
2016,CPA,Office of the Commissioner of Lobbying of Canada,26
2016,CPA,Office of the Commissioner of Official Languages,164
2016,CPA,Office of the Governor General's Secretary,166
2016,CPA,Office of the Public Sector Integrity Commissioner of Canada,26
2016,CPA,Offices of the information and Privacy Commissioners of Canada,259
2016,CPA,Parole Board of Canada,447
2016,CPA,Patented Medicine Prices Review Board Canada,69
2016,CPA,Privy Council Office,712
2016,CPA,Public Health Agency of Canada,2223
2016,CPA,Public Prosecution Service of Canada,970
2016,CPA,Public Safety Canada,1125
2016,CPA,Public Service Commission of Canada,741
2016,CPA,Public Services and Procurement Canada,12061
2016,CPA,RCMP External Review Committee,7
2016,CPA,Registrar of the Supreme Court of Canada,212
2016,CPA,Royal Canadian Mounted Police (Civilian Staff),6571
2016,CPA,Shared Services Canada,5157
2016,CPA,Statistics Canada,5717
2016,CPA,Status of Women Canada,91
2016,CPA,Transport Canada,5154
2016,CPA,Transportation Safety Board of Canada,215
2016,CPA,Treasury Board of Canada Secretariat,1728
2016,CPA,Veterans Affairs Canada,3413
2016,CPA,Western Economic Diversification Canada,292
2016,SA,Canada Revenue Agency,39484
2016,SA,Canadian Food Inspection Agency,5946
2016,SA,Canadian High Arctic Research Station,29
2016,SA,Canadian Institutes of Health Research,409
2016,SA,Canadian Nuclear Safety Commission,851
2016,SA,Communications Security Establishment,2162
2016,SA,Financial Consumer Agency of Canada,94
2016,SA,Financial Transactions and Reports Analysis Centre of Canada,374
2016,SA,Indian Oil and Gas Canada,85
2016,SA,National Energy Board,469
2016,SA,National Film Board,389
2016,SA,National Research Council Canada,3780
2016,SA,Office of the Auditor General of Canada,588
2016,SA,Office of the Superintendent of Financial Institutions Canada,667
2016,SA,Parks Canada,3886
2016,SA,Science and Engineering Research Canada,444
2016,SA,Security Intelligence Review Committee,20
2016,SA,Social Sciences and Humanities Research Council of Canada,210
2016,SA,Statistical Survey Operations,1701
2016,SA,The Correctional Investigator Canada,37
2017,CPA,Administrative Tribunals Support Service of Canada,570
2017,CPA,Agriculture and Agri-Food Canada,5234
2017,CPA,Atlantic Canada Opportunities Agency,593
2017,CPA,Canada Border Services Agency,13707
2017,CPA,Canada School of Public Service,610
2017,CPA,Canadian Dairy Commission,61
2017,CPA,Canadian Environmental Assessment Agency,289
2017,CPA,Canadian Grain Commission,435
2017,CPA,Canadian Heritage,1759
2017,CPA,Canadian Human Rights Commission,191
2017,CPA,Canadian Intergovernmental Conference Secretariat,22
2017,CPA,Canadian Northern Economic Development Agency,78
2017,CPA,Canadian Radio-television and Telecommunications Commission,462
2017,CPA,Canadian Space Agency,655
2017,CPA,Canadian Transportation Agency,223
2017,CPA,Civilian Review and Complaints Commission for the RCMP,67
2017,CPA,Copyright Board Canada,14
2017,CPA,Correctional Service Canada,17109
2017,CPA,Courts Administration Service,636
2017,CPA,Department of Finance Canada,747
2017,CPA,Department of Justice Canada,4461
2017,CPA,Economic Development Agency of Canada for the Regions of Quebec,336
2017,CPA,Elections Canada,584
2017,CPA,Employment and Social Development Canada,23729
2017,CPA,Environment and Climate Change Canada,6601
2017,CPA,Federal Economic Development Agency for Southern Ontario,217
2017,CPA,Federal Judges not part of any department,1128
2017,CPA,Fisheries and Oceans Canada,10230
2017,CPA,Global Affairs Canada,6061
2017,CPA,Health Canada,9327
2017,CPA,Immigration and Refugee Board of Canada,1031
2017,CPA,"Immigration, Refugees and Citizenship Canada",6465
2017,CPA,Indigenous and Northern Affairs Canada,4708
2017,CPA,Infrastructure Canada,329
2017,CPA,"Innovation, Science and Economic Development Canada",4947
2017,CPA,International Joint Commission,32
2017,CPA,Library and Archives Canada,930
2017,CPA,Military Grievances External Review Committee,39
2017,CPA,Military Police Complaints Commission of Canada,25
2017,CPA,National Defence,23178
2017,CPA,Natural Resources Canada,4264
2017,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,59
2017,CPA,Office of the Commissioner of Lobbying of Canada,24
2017,CPA,Office of the Commissioner of Official Languages,155
2017,CPA,Office of the Governor General's Secretary,149
2017,CPA,Office of the Public Sector Integrity Commissioner of Canada,24
2017,CPA,Offices of the information and Privacy Commissioners of Canada,261
2017,CPA,Parole Board of Canada,448
2017,CPA,Patented Medicine Prices Review Board Canada,69
2017,CPA,Privy Council Office,799
2017,CPA,Public Health Agency of Canada,2234
2017,CPA,Public Prosecution Service of Canada,990
2017,CPA,Public Safety Canada,1149
2017,CPA,Public Service Commission of Canada,780
2017,CPA,Public Services and Procurement Canada,12894
2017,CPA,RCMP External Review Committee,6
2017,CPA,Registrar of the Supreme Court of Canada,216
2017,CPA,Royal Canadian Mounted Police (Civilian Staff),6801
2017,CPA,Shared Services Canada,5257
2017,CPA,Statistics Canada,5187
2017,CPA,Status of Women Canada,99
2017,CPA,Transport Canada,4782
2017,CPA,Transportation Safety Board of Canada,209
2017,CPA,Treasury Board of Canada Secretariat,1841
2017,CPA,Veterans Affairs Canada,2809
2017,CPA,Veterans Review and Appeal Board,86
2017,CPA,Western Economic Diversification Canada,279
2017,SA,Canada Revenue Agency,40223
2017,SA,Canadian Food Inspection Agency,6180
2017,SA,Canadian High Arctic Research Station,27
2017,SA,Canadian Institutes of Health Research,462
2017,SA,Canadian Nuclear Safety Commission,859
2017,SA,Communications Security Establishment,2209
2017,SA,Financial Consumer Agency of Canada,99
2017,SA,Financial Transactions and Reports Analysis Centre of Canada,378
2017,SA,Indian Oil and Gas Canada,88
2017,SA,National Energy Board,456
2017,SA,National Film Board,371
2017,SA,National Research Council Canada,3864
2017,SA,Office of the Auditor General of Canada,617
2017,SA,Office of the Superintendent of Financial Institutions Canada,688
2017,SA,Parks Canada,3976
2017,SA,Science and Engineering Research Canada,442
2017,SA,Security Intelligence Review Committee,22
2017,SA,Social Sciences and Humanities Research Council of Canada,211
2017,SA,Statistical Survey Operations,1797
2017,SA,The Correctional Investigator Canada,36
2018,CPA,Administrative Tribunals Support Service of Canada,548
2018,CPA,Agriculture and Agri-Food Canada,5277
2018,CPA,Atlantic Canada Opportunities Agency,586
2018,CPA,Canada Border Services Agency,14013
2018,CPA,Canada School of Public Service,599
2018,CPA,Canadian Dairy Commission,68
2018,CPA,Canadian Environmental Assessment Agency,278
2018,CPA,Canadian Grain Commission,426
2018,CPA,Canadian Heritage,1841
2018,CPA,Canadian Human Rights Commission,206
2018,CPA,Canadian Intergovernmental Conference Secretariat,21
2018,CPA,Canadian Northern Economic Development Agency,81
2018,CPA,Canadian Radio-television and Telecommunications Commission,455
2018,CPA,Canadian Space Agency,647
2018,CPA,Canadian Transportation Agency,235
2018,CPA,Civilian Review and Complaints Commission for the RCMP,67
2018,CPA,Copyright Board Canada,16
2018,CPA,Correctional Service Canada,17146
2018,CPA,Courts Administration Service,647
2018,CPA,Department of Finance Canada,788
2018,CPA,Department of Justice Canada,4532
2018,CPA,Economic Development Agency of Canada for the Regions of Quebec,307
2018,CPA,Elections Canada,676
2018,CPA,Employment and Social Development Canada,24739
2018,CPA,Environment and Climate Change Canada,6836
2018,CPA,Federal Economic Development Agency for Southern Ontario,235
2018,CPA,Federal Judges not part of any department,1165
2018,CPA,Fisheries and Oceans Canada,11138
2018,CPA,Global Affairs Canada,6354
2018,CPA,Health Canada,9739
2018,CPA,Immigration and Refugee Board of Canada,1087
2018,CPA,"Immigration, Refugees and Citizenship Canada",6993
2018,CPA,Indigenous and Northern Affairs Canada,4931
2018,CPA,Infrastructure Canada,401
2018,CPA,"Innovation, Science and Economic Development Canada",5146
2018,CPA,International Joint Commission,31
2018,CPA,Library and Archives Canada,927
2018,CPA,Military Grievances External Review Committee,33
2018,CPA,Military Police Complaints Commission of Canada,18
2018,CPA,National Defence,24024
2018,CPA,Natural Resources Canada,4358
2018,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,62
2018,CPA,Office of the Commissioner of Lobbying of Canada,22
2018,CPA,Office of the Commissioner of Official Languages,164
2018,CPA,Office of the Governor General's Secretary,148
2018,CPA,Office of the Public Sector Integrity Commissioner of Canada,23
2018,CPA,Offices of the information and Privacy Commissioners of Canada,256
2018,CPA,Parole Board of Canada,453
2018,CPA,Patented Medicine Prices Review Board Canada,61
2018,CPA,Privy Council Office,1006
2018,CPA,Public Health Agency of Canada,2159
2018,CPA,Public Prosecution Service of Canada,1005
2018,CPA,Public Safety Canada,1205
2018,CPA,Public Service Commission of Canada,809
2018,CPA,Public Services and Procurement Canada,13988
2018,CPA,RCMP External Review Committee,6
2018,CPA,Registrar of the Supreme Court of Canada,230
2018,CPA,Royal Canadian Mounted Police (Civilian Staff),7240
2018,CPA,Shared Services Canada,5816
2018,CPA,Statistics Canada,5210
2018,CPA,Status of Women Canada,121
2018,CPA,Transport Canada,5362
2018,CPA,Transportation Safety Board of Canada,210
2018,CPA,Treasury Board of Canada Secretariat,1954
2018,CPA,Veterans Affairs Canada,2800
2018,CPA,Veterans Review and Appeal Board,85
2018,CPA,Western Economic Diversification Canada,302
2018,SA,Canada Revenue Agency,42152
2018,SA,Canadian Food Inspection Agency,6249
2018,SA,Canadian High Arctic Research Station,61
2018,SA,Canadian Institutes of Health Research,470
2018,SA,Canadian Nuclear Safety Commission,899
2018,SA,Communications Security Establishment,2361
2018,SA,Financial Consumer Agency of Canada,115
2018,SA,Financial Transactions and Reports Analysis Centre of Canada,372
2018,SA,Indian Oil and Gas Canada,88
2018,SA,National Energy Board,477
2018,SA,National Film Board,399
2018,SA,National Research Council Canada,3871
2018,SA,Office of the Auditor General of Canada,603
2018,SA,Office of the Superintendent of Financial Institutions Canada,721
2018,SA,Parks Canada,4202
2018,SA,Science and Engineering Research Canada,447
2018,SA,Security Intelligence Review Committee,25
2018,SA,Social Sciences and Humanities Research Council of Canada,210
2018,SA,Statistical Survey Operations,1504
2018,SA,The Correctional Investigator Canada,33
